source_dataset,source_sheet,alloy,material_class,condition,loading_protocol,overload_ratio,delta_k_mpa_sqrt_m,dadn_mm_per_cycle,hardness_hv,microstructure_family,grain_size_um,temperature_C,stress_ratio_R,data_type,log_delta_k,log_dadn,is_austenitic,is_measured,grain_size_um_filled,inv_sqrt_grain_size
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.56356,1.2959e-05,367.58,tempered_martensitic,,20,,measured,1.0238103034065569,-4.88742851013502,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.57914,1.31496e-05,367.58,tempered_martensitic,,20,,measured,1.0244503644444372,-4.881087457853684,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.59498,1.3315e-05,367.58,tempered_martensitic,,20,,measured,1.0251001412357859,-4.87565882922504,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.61105,1.34521e-05,367.58,tempered_martensitic,,20,,measured,1.0257583609648102,-4.871209912894217,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.62733,1.35558e-05,367.58,tempered_martensitic,,20,,measured,1.0264241665064924,-4.867874847295351,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.64377,1.36402e-05,367.58,tempered_martensitic,,20,,measured,1.0270954813613071,-4.865179261771945,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.66035,1.37044e-05,367.58,tempered_martensitic,,20,,measured,1.0277714636561595,-4.863139973797835,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.67705,1.37612e-05,367.58,tempered_martensitic,,20,,measured,1.028451276503901,-4.861343693233146,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.69386,1.38232e-05,367.58,tempered_martensitic,,20,,measured,1.0291344941812417,-4.859391408374949,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.71078,1.38988e-05,367.58,tempered_martensitic,,20,,measured,1.0298210989701433,-4.8570226944132004,0,1,20.0,0.22360679774997896
